"","SA","x","y"
"617","L2/3",8111.616,-5858.109
"618","L2/3",8087.656,-5880.761
"619","L2/3",8061.22,-5904.508
"620","L2/3",8032.262,-5929.169
"621","L2/3",8000.733,-5954.562
"622","L2/3",7966.586,-5980.505
"623","L2/3",7929.773,-6006.816
"624","L2/3",7890.244,-6033.313
"625","L2/3",7847.954,-6059.815
"626","L2/3",7802.852,-6086.139
"627","L2/3",7754.893,-6112.105
"628","L2/3",7704.027,-6137.529
"629","L2/3",7650.207,-6162.231
"630","L2/3",7593.384,-6186.029
"631","L2/3",7533.511,-6208.74
"632","L2/3",7470.54,-6230.183
"633","L2/3",7404.422,-6250.177
"634","L2/3",7335.111,-6268.538
"635","L2/3",7262.557,-6285.087
"636","L2/3",7262.557,-6285.087
"637","L2/3",7207.5,-6297.18
"638","L2/3",7153.275,-6310.117
"639","L2/3",7099.87,-6323.837
"640","L2/3",7047.276,-6338.279
"641","L2/3",6995.482,-6353.38
"642","L2/3",6944.478,-6369.08
"643","L2/3",6894.254,-6385.317
"644","L2/3",6844.8,-6402.029
"645","L2/3",6796.106,-6419.156
"646","L2/3",6748.161,-6436.636
"647","L2/3",6700.956,-6454.408
"648","L2/3",6654.481,-6472.41
"649","L2/3",6608.724,-6490.58
"650","L2/3",6563.677,-6508.858
"651","L2/3",6519.328,-6527.181
"652","L2/3",6475.668,-6545.49
"653","L2/3",6432.687,-6563.721
"654","L2/3",6390.374,-6581.814
"655","L2/3",6348.72,-6599.708
"656","L2/3",6307.713,-6617.34
"657","L2/3",6267.345,-6634.65
"658","L2/3",6227.605,-6651.576
"659","L2/3",6188.482,-6668.057
"660","L2/3",6149.967,-6684.031
"661","L2/3",6112.05,-6699.437
"662","L2/3",6074.72,-6714.214
"663","L2/3",6037.967,-6728.3
"664","L2/3",6001.781,-6741.634
"665","L2/3",5966.152,-6754.154
"666","L2/3",5966.152,-6754.154
"667","L2/3",5950.405,-6758.931
"668","L2/3",5934.08,-6762.723
"669","L2/3",5917.216,-6765.567
"670","L2/3",5899.85,-6767.5
"671","L2/3",5882.023,-6768.561
"672","L2/3",5863.771,-6768.785
"673","L2/3",5845.133,-6768.211
"674","L2/3",5826.149,-6766.877
"675","L2/3",5806.857,-6764.819
"676","L2/3",5787.295,-6762.075
"677","L2/3",5767.502,-6758.684
"678","L2/3",5747.517,-6754.681
"679","L2/3",5727.377,-6750.105
"680","L2/3",5707.122,-6744.993
"681","L2/3",5686.791,-6739.383
"682","L2/3",5666.421,-6733.311
"683","L2/3",5646.051,-6726.816
"684","L2/3",5625.721,-6719.936
"685","L2/3",5605.468,-6712.706
"686","L2/3",5585.331,-6705.166
"687","L2/3",5565.348,-6697.352
"688","L2/3",5545.559,-6689.302
"689","L2/3",5526.001,-6681.053
"690","L2/3",5506.714,-6672.643
